zanode,model,runZTFScript
action,tao,processCreateChildrenActionExtra
action,tao,processCreateRequirementsActionExtra
action,tao,processLinkStoryAndBugActionExtra
action,tao,processToStoryActionExtra
bi,tao,fetchActionDate
bi,tao,fetchAllTables
convert,tao,createDefaultExecution
convert,tao,createDefaultLayout
convert,tao,createProject
convert,tao,createTicket
convert,tao,createWorkflowField
convert,tao,createWorkflowStatus
convert,tao,importJiraIssue
convert,tao,processJiraContent
convert,tao,processWorkflowHooks
kanban,tao,getBranchesForPlanKanban
kanban,tao,getStoryCardMenu
kanban,tao,getstrorycardmenu
kanban,tao,refreshBugCards
kanban,tao,refreshERURCards
kanban,tao,refreshStoryCards
kanban,tao,updateCardAssignedTo
metric,tao,getObjectsWithPager
pivot,tao,fetchPivot
pivot,tao,fetchPivotDrills
pivot,tao,getBugGroup
pivot,tao,getExecutionList
pivot,tao,getPlanStatusStatistics
pivot,tao,getProductProjects
pivot,tao,processProductPlan
project,tao,buildLinkForBug
project,tao,buildLinkForProject
project,tao,buildLinkForStory
search,tao,appendFiles
search,tao,checkDocPriv
search,tao,checkExecutionPriv
search,tao,checkFeedbackAndTicketPriv
search,tao,checkObjectPriv
search,tao,checkPriv
search,tao,checkProductPriv
search,tao,checkProgramPriv
search,tao,checkProjectPriv
search,tao,checkRelatedObjectPriv
search,tao,checkTestsuitePriv
search,tao,checkTodoPriv
search,tao,processDocRecord
search,tao,processExecutionRecord
search,tao,processProjectRecord
search,tao,processRecord
search,tao,processRiskRecord
search,tao,processStoryRecord
search,tao,processTaskRecord
search,tao,unify
story,tao,doSaveUploadImage
story,tao,getChildItems
story,tao,getProductReviewers
task,tao,formatDatetime
admin,zen,certifyByAPI
admin,zen,fetchAPI
admin,zen,getZentaoData
admin,zen,sendCodeByAPI
admin,zen,setCompanyByAPI
admin,zen,syncDynamics
admin,zen,syncExtensions
admin,zen,syncPublicClasses
api,zen,generateLibsDropMenu
api,zen,getMethod
backup,zen,backupCode
backup,zen,backupFile
backup,zen,backupSQL
backup,zen,getBackupList
backup,zen,removeExpiredFiles
backup,zen,restoreFile
backup,zen,restoreSQL
backup,zen,setHoldDays
block,zen,createMoreLink
block,zen,printAnnualWorkloadBlock
block,zen,printAssignToMeBlock
block,zen,printBugBlock
block,zen,printBugStatisticBlock
block,zen,printBuildBlock
block,zen,printCaseBlock
block,zen,printDocCollectListBlock
block,zen,printDocDynamicBlock
block,zen,printDocMyCollectionBlock
block,zen,printDocMyCreatedBlock
block,zen,printDocRecentUpdateBlock
block,zen,printDocViewListBlock
block,zen,printExecutionListBlock
block,zen,printExecutionStatisticBlock
block,zen,printGuideBlock
block,zen,printIssueBlock
block,zen,printMonthlyProgressBlock
block,zen,printPlanBlock
block,zen,printProductDocBlock
block,zen,printProductListBlock
block,zen,printProductStatisticBlock
block,zen,printProjectOverviewBlock
block,zen,printProjectStatisticBlock
block,zen,printRiskBlock
block,zen,printScrumIssueBlock
block,zen,printScrumListBlock
block,zen,printScrumOverviewBlock
block,zen,printScrumProductBlock
block,zen,printScrumRiskBlock
block,zen,printScrumRoadMapBlock
block,zen,printScrumTestBlock
block,zen,printSingleBugStatisticBlock
block,zen,printSingleDynamicBlock
block,zen,printsinglemonthlyprogessblock
block,zen,printSingleMonthlyProgressBlock
block,zen,printSinglePlanBlock
block,zen,printSingleReleaseBlock
block,zen,printSingleStatisticBlock
block,zen,printSingleStoryBlock
block,zen,printSprintBlock
block,zen,printStoryBlock
block,zen,printTaskBlock
block,zen,printTeamAchievementBlock
block,zen,printTesttaskBlock
block,zen,printWaterfallEstimateBlock
block,zen,printWaterfallGeneralReportBlock
block,zen,printWaterfallIssueBlock
block,zen,printWaterfallProgressBlock
block,zen,printWaterfallRiskBlock
block,zen,processBlockForRender
bug,zen,afterBatchCreate
bug,zen,afterCreate
bug,zen,afterUpdate
bug,zen,assignBatchCreateVars
bug,zen,assignBatchEditVars
bug,zen,assignKanbanVars
bug,zen,assignProductRelatedVars
bug,zen,assignProjectRelatedVars
bug,zen,assignUsersForBatchEdit
bug,zen,assignusersforebatchedit
bug,zen,assignVarsForBatchCreate
bug,zen,assignVarsForEdit
bug,zen,buildBrowseView
bug,zen,buildBugForResolve
bug,zen,buildBugsForBatchCreate
bug,zen,buildBugsForBatchEdit
bug,zen,buildCreateForm
bug,zen,buildEditForm
bug,zen,buildSearchFormForLinkBugs
bug,zen,checkRquiredForEdit
bug,zen,extractObjectFromExtras
bug,zen,getAssignedToPairs
bug,zen,getBatchResolveVars
bug,zen,getBranchesForCreate
bug,zen,getBrowseBugs
bug,zen,getBuildsForCreate
bug,zen,getExecutionsForCreate
bug,zen,getExportFileName
bug,zen,getModulesForCreate
bug,zen,getProductMembersForCreate
bug,zen,getProductsForCreate
bug,zen,getProjectsForCreate
bug,zen,getStoriesForCreate
bug,zen,getTasksForCreate
bug,zen,initBug
bug,zen,mergeChartOption
bug,zen,operateAfterBatchEdit
bug,zen,prepareBrowseParams
bug,zen,processImageForBatchCreate
bug,zen,responseAfterBatchCreate
bug,zen,responseAfterBatchEdit
bug,zen,responseAfterCreate
bug,zen,responseAfterDelete
bug,zen,responseInModal
bug,zen,updateBug
bug,zen,updateKanbanAfterCreate
bug,zen,updateTodoAfterCreate
build,zen,assignBugVarsForView
build,zen,assignCreateData
build,zen,assignEditData
build,zen,assignProductVarsForView
build,zen,buildBuildForCreate
build,zen,buildBuildForEdit
build,zen,buildLinkBugSearchForm
build,zen,buildLinkStorySearchForm
build,zen,getExcludeStoryIdList
build,zen,setMenuForView
caselib,zen,getRowsForExportTemplate
caselib,zen,prepareCasesForBathcCreate
caselib,zen,processCasesForExport
caselib,zen,responseAfterShowImport
chart,zen,getChartsToView
chart,zen,getChartToFilter
chart,zen,getMenuItems
ci,zen,getProductIdAndJobID
ci,zen,parseZtfResult
company,zen,buildDyanmicSearchForm
company,zen,loadAllSearchModule
company,zen,loadExecution
company,zen,loadProduct
company,zen,loadProject
company,zen,loadUserModule
company,zen,saveUriIntoSession
compile,zen,buildSearchForm
custom,zen,assignFieldListForSet
custom,zen,assignVarsForSet
custom,zen,checkDuplicateKeys
custom,zen,checkEmptyKeys
custom,zen,checkInvalidKeys
custom,zen,checkKeysForSet
custom,zen,setFieldListForSet
custom,zen,setGradeRule
custom,zen,setStoryReview
custom,zen,setTestcaseReview
design,zen,setMenu
doc,zen,assignApiVarForSpace
doc,zen,assignStoryGradeData
doc,zen,assignVarsForCreate
doc,zen,assignVarsForMySpace
doc,zen,assignVarsForUploadDocs
doc,zen,assignVarsForView
doc,zen,buildLibForCreateLib
doc,zen,buildOutlineList
doc,zen,buildOutlineTree
doc,zen,buildSearchFormForShowFiles
doc,zen,checkPrivForCreate
doc,zen,formFromSession
doc,zen,getAllSpaces
doc,zen,getDocChildrenByRecursion
doc,zen,getOutlineParentID
doc,zen,initLibForMySpace
doc,zen,initLibForTeamSpace
doc,zen,prepareCols
doc,zen,previewCaselib
doc,zen,previeweicket
doc,zen,previewER
doc,zen,previewExecutionStory
doc,zen,previewFeedback
doc,zen,previewPlanBug
doc,zen,previewPlanStory
doc,zen,previewProductBug
doc,zen,previewProductCase
doc,zen,previewProductplan
doc,zen,previewProductStory
doc,zen,previewProjectStory
doc,zen,previewStory
doc,zen,previewTask
doc,zen,previewUR
doc,zen,processFiles
doc,zen,processOutline
doc,zen,recordBatchMoveActions
doc,zen,responseAfterAddTemplateType
doc,zen,responseAfterCreate
doc,zen,responseAfterCreateLib
doc,zen,responseAfterEdit
doc,zen,responseAfterEditTemplate
doc,zen,responseAfterMove
doc,zen,responseAfterUploadDocs
doc,zen,setAclForCreateLib
doc,zen,setAclForEditLib
doc,zen,setObjectsForCreate
doc,zen,setObjectsForEdit
doc,zen,setSpacePageStorage
editor,zen,buildContentByAction
execution,zen,buildExecutionForCreate
execution,zen,buildImportBugSearchForm
execution,zen,checkCFDDate
execution,zen,checkLinkPlan
execution,zen,checkPostForCreate
execution,zen,filterGroupTasks
execution,zen,getAfterCreateLocation
execution,zen,getImportBugs
execution,zen,getLinkedObjects
execution,zen,initFieldsForCreate
execution,zen,setRecentExecutions
execution,zen,updateLinkedPlans
extension,zen,backupDB
extension,zen,checkCompatible
extension,zen,checkConflicts
extension,zen,checkDepends
extension,zen,checkExtension
extension,zen,checkExtensionPaths
extension,zen,checkExtractPath
extension,zen,compareForLimit
extension,zen,copyPackageFiles
extension,zen,extractPackage
extension,zen,getHookFile
extension,zen,installExtension
extension,zen,togglePackageDisable
file,zen,updateFileName
gitlab,zen,bindUsers
gitlab,zen,checkBindedUser
gitlab,zen,checkUserRepeat
gitlab,zen,getGroupMemberData
gitlab,zen,getProjectMemberData
gitlab,zen,issueToZentaoObject
gitlab,zen,issuetozentoobject
gitlab,zen,recordWebhookLogs
gitlab,zen,webhookParseBody
gitlab,zen,webhookParseIssue
gitlab,zen,webhookParseObject
group,zen,getNavGroup
group,zen,managePrivByModule
instance,zen,checkForInstall
instance,zen,storeView
jenkins,zen,buildTree
jenkins,zen,checkTokenAccess
job,zen,buildSearchForm
job,zen,getCompileData
job,zen,getJobList
job,zen,getJobSearchQuery
job,zen,getSubversionDir
job,zen,reponseAfterCreateEdit
kanban,zen,assignCreateVars
kanban,zen,moveCardByModal
kanban,zen,setUserAvatar
mail,zen,getHasMailUserPairs
metric,zen,formatException
metric,zen,getBasicInfo
metric,zen,getOldMetricInfo
metric,zen,getUniqueKeyByRecord
metric,zen,getValidObjects
metric,zen,startTime
mr,zen,assignEditData
mr,zen,buildLinkBugSearchForm
mr,zen,buildLinkStorySearchForm
mr,zen,buildLinkTaskSearchForm
mr,zen,checkNewCommit
mr,zen,checkProjectEdit
mr,zen,getAllProjects
mr,zen,getBranchUrl
mr,zen,processLinkTaskPager
mr,zen,saveMrData
my,zen,assignRelatedData
my,zen,buildCaseData
my,zen,buildSearchFormForFeedback
my,zen,buildTaskData
my,zen,showWorkCount
my,zen,showWorkCountNotInOpen
personnel,zen,setSelectObjectTips
pivot,zen,bugAssign
pivot,zen,bugCreate
pivot,zen,getBuiltinMenus
pivot,zen,getDefaultMethodAndParams
pivot,zen,getDrill
pivot,zen,getfilteroption
pivot,zen,getFilterOptionUrl
pivot,zen,getMenuItems
pivot,zen,getSidebarMenus
pivot,zen,productSummary
pivot,zen,projectDeviation
pivot,zen,setNewMark
pivot,zen,show
pivot,zen,workload
productplan,zen,assignKanbanData
productplan,zen,buildActionsList
productplan,zen,buildBugSearchForm
productplan,zen,buildDataForBrowse
productplan,zen,buildLinkStorySearchForm
productplan,zen,buildPlansForBatchEdit
productplan,zen,buildViewActions
productplan,zen,buildViewSummary
productplan,zen,getSummary
productplan,zen,reorderStories
productplan,zen,setSessionForViewPage
product,zen,assignBrowseData
product,zen,buildBatchEditForm
product,zen,buildProductForActivate
product,zen,buildProductForClose
product,zen,buildProductForCreate
product,zen,buildProductForEdit
product,zen,buildSearchFormForBrowse
product,zen,buildSearchFormForTrack
product,zen,getActions4Dashboard
product,zen,getActionsForDynamic
product,zen,getActiveStoryTypeForTrack
product,zen,getBackLink4Create
product,zen,getBranchAndTagOption
product,zen,getBranchID
product,zen,getBranchOptions
product,zen,getBrowseProduct
product,zen,getCreatedLocate
product,zen,getCustomFieldsForTrack
product,zen,getEditedLocate
product,zen,getEmptyHour
product,zen,getExportData
product,zen,getExportFields
product,zen,getFormFields4Activate
product,zen,getFormFields4Close
product,zen,getFormFields4Create
product,zen,getFormFields4Edit
product,zen,getKanbanList
product,zen,getModuleId
product,zen,getModuleTree
product,zen,getProductLines
product,zen,getProductList4Kanban
product,zen,getProductPlans
product,zen,getProducts4DropMenu
product,zen,getProjectProductList
product,zen,getStories
product,zen,getStoriesByStoryType
product,zen,getStoryIdList
product,zen,getUnauthProgramsOfProducts
product,zen,prepareManageLineExtras
product,zen,processProjectListData
product,zen,responseAfterBatchEdit
product,zen,responseAfterCreate
product,zen,responseAfterEdit
product,zen,responseNotFound4View
product,zen,saveAndModifyCookie4Browse
product,zen,saveBackUriSession4Dashboard
product,zen,saveBackUriSessionForDynamic
product,zen,saveSession4Browse
product,zen,saveSession4Roadmap
product,zen,setCreateMenu
product,zen,setEditMenu
product,zen,setMenu4All
product,zen,setProjectMenu
product,zen,setSelectFormOptions
product,zen,setShowErrorNoneMenu
product,zen,setShowErrorNoneMenu4Execution
product,zen,setShowErrorNoneMenu4Project
product,zen,setShowErrorNoneMenu4QA
product,zen,setTrackMenu
programplan,zen,buildStages
programplan,zen,computeFieldsCreateView
programplan,zen,prepareEditPlan
program,zen,buildProgramForCreate
program,zen,buildProgramForEdit
program,zen,buildTree
program,zen,getKanbanList
program,zen,getLink
program,zen,getProductsByBrowseType
program,zen,getProgramList4Kanban
program,zen,getProgramsByType
program,zen,prepareStartExtras
program,zen,removeSubjectToCurrent
projectrelease,zen,buildReleaseForCreate
projectrelease,zen,commonAction
project,zen,assignTesttaskVars
project,zen,buildActivateForm
project,zen,buildBugView
project,zen,buildCreateForm
project,zen,buildMembers
project,zen,buildStartForm
project,zen,buildSuspendForm
project,zen,buildUsers
project,zen,checkDaysAndBudget
project,zen,checkProductAndBranch
project,zen,checkWorkdaysLegtimate
project,zen,displayAfterCreated
project,zen,expandExecutionIdList
project,zen,extractUnModifyForm
project,zen,getKanbanData
project,zen,getOtherProducts
project,zen,prepareBranchForBug
project,zen,prepareClosedExtras
project,zen,prepareModuleForBug
project,zen,prepareProject
project,zen,prepareStartExtras
project,zen,prepareSuspendExtras
project,zen,processBugSearchParams
project,zen,processbuildserachparams
project,zen,processGroupPrivs
project,zen,recordExecutionsOfUnlinkedProducts
project,zen,removeAssociatedProducts
project,zen,responseAfterClose
project,zen,updateLinkedProducts
release,zen,buildBugDataForExport
release,zen,buildLinkBugSearchForm
release,zen,buildSearchForm
release,zen,getExcludeStoryIdList
release,zen,getSearchQuery
report,zen,assignAnnualBaseData
report,zen,assignAnnualData
report,zen,assignAnnualReport
report,zen,getReminder
repo,zen,buildCreateRepoForm
repo,zen,buildEditForm
repo,zen,buildRepoTree
repo,zen,checkACL
repo,zen,checkClient
repo,zen,checkSyncResult
repo,zen,encodingDiff
repo,zen,getBranchAndTagItems
repo,zen,getCommits
repo,zen,getFilesInfo
repo,zen,getLinkBranches
repo,zen,getLinkExecutions
repo,zen,getLinkModules
repo,zen,getSearchFormQuery
repo,zen,getSyncBranches
repo,zen,getViewTree
repo,zen,prepareCreate
repo,zen,prepareCreateRepo
repo,zen,prepareEdit
repo,zen,setBrowseSession
repo,zen,syncLocalCommit
screen,zen,commonAction
screen,zen,prepareCardList
screen,zen,setSelectFilter
search,zen,getTypeList
search,zen,setOptionAndOr
search,zen,setOptionFields
search,zen,setOptionOperators
search,zen,setOptions
search,zen,setSessionForIndex
sonarqube,zen,checkTokenRequire
sonarqube,zen,sortAndPage
sso,zen,buildLocationByGET
sso,zen,buildLocationByPATHINFO
sso,zen,buildSSOParams
sso,zen,buildUserForCreate
sso,zen,computeAuth
sso,zen,getBindFeishuUser
sso,zen,getFeishuAccessToken
sso,zen,getFeishuUserToken
sso,zen,idenfyFromSSO
sso,zen,locateNotifyLink
store,zen,getInstalledApps
story,zen,buildDataForBatchToTask
story,zen,buildStoryForChange
story,zen,convertChildID
story,zen,getAfterBatchCreateLocation
story,zen,getAfterCreateLocation
story,zen,getAfterEditLocation
story,zen,getAfterReviewLocation
story,zen,getAssignMeBlockID
story,zen,getCustomFields
story,zen,getDataFromUploadImages
story,zen,getFormFieldsForChange
story,zen,getFormFieldsForCreate
story,zen,getFormFieldsForEdit
story,zen,getFormFieldsForReview
story,zen,getFormOptionsForSingleProduct
story,zen,getInitStoryByBug
story,zen,getLinkedObjects
story,zen,getProductsForEdit
story,zen,getResponseInModal
story,zen,getStoriesByChecked
story,zen,hiddenFormFieldsForEdit
story,zen,processDataForEdit
story,zen,processFilterTitle
story,zen,removeFormFieldsForBatchCreate
story,zen,setFormOptionsForBatchEdit
story,zen,setHiddenFieldsForView
story,zen,setViewVarsForKanban
system,zen,getCpuUsage
system,zen,getMemUsage
task,zen,assignBatchEditVars
task,zen,assignCreateVars
task,zen,buildBatchCreateForm
task,zen,buildEffortForFinish
task,zen,buildRecordForm
task,zen,buildTaskForClose
task,zen,buildTaskForEdit
task,zen,buildTasksForBatchCreate
task,zen,checkCreateTestTasks
task,zen,formatExportTask
task,zen,generalCreateResponse
task,zen,getAssignedToOptions
task,zen,getCustomFields
task,zen,getExportFields
task,zen,processExportData
task,zen,responseAfterRecord
task,zen,responseModal
testcase,zen,addEditAction
testcase,zen,assignBranchForEdit
testcase,zen,assignCasesForBrowse
testcase,zen,assigncreatesceneVars
testcase,zen,assignCreateVars
testcase,zen,assignForBatchCreate
testcase,zen,assignForBatchEdit
testcase,zen,assignForBrowse
testcase,zen,assignModuleOptionMenuForEdit
testcase,zen,assignProductAndBranchForBrowse
testcase,zen,assignShowImportVars
testcase,zen,assignTitleForBatchEdit
testcase,zen,buildBrowseSearchForm
testcase,zen,buildCasesForBathcCreate
testcase,zen,buildLinkCasesSearchForm
testcase,zen,buildUpdateCaseForShowImport
testcase,zen,checkCasesForShowImport
testcase,zen,checkProducts
testcase,zen,getBrowseBranch
testcase,zen,getGroupCases
testcase,zen,getImportedData
testcase,zen,getImportField
testcase,zen,importCases
testcase,zen,initLibCase
testcase,zen,parseUploadFile
testcase,zen,prepareEditExtras
testcase,zen,prepareReviewData
testcase,zen,preProcessForEdit
testcase,zen,processCaseForExport
testcase,zen,processCasesForBrowse
testcase,zen,processCasesForExport
testcase,zen,processFileForExport
testcase,zen,processLinkCaseForExport
testcase,zen,responseAfterBatchCreate
testcase,zen,responseAfterShowImport
testcase,zen,setBrowseCookie
testcase,zen,setBrowseMenu
testcase,zen,setMenuForCaseEdit
testreport,zen,assignReportData
testreport,zen,buildReportDataForView
testreport,zen,commonAction
testreport,zen,getGeneratedAndLegacyBugData
testreport,zen,getReportsForBrowse
testreport,zen,getStageAndHandleGroups
testtask,zen,assignForCases
testtask,zen,responseAfterRunCase
todo,zen,assembleExportData
todo,zen,beforeBatchEdit
todo,zen,beforeEdit
todo,zen,buildCreateView
transfer,zen,buildNextList
transfer,zen,printCell
transfer,zen,printRow
tree,zen,setRoot
webhook,zen,getResponse
zanode,zen,getServiceStatus
zanode,zen,getTaskStatus
zanode,zen,handleNode
zanode,zen,installService
zanode,zen,prepareCreateExtras
zanode,zen,prepareCreateSnapshotExtras
